ID	Original Text	Translated Text
0	Fresh Faced	Regard Neuf
2	The Warger	Le Warger
3	Custom model from Rumibard Warger	Modèle personnalisé de Rumibard Warger
4	Double Implant 2	Implant double 2
5	Deal 5000 Damage to Enemies	Infliger 5000 points de dégâts aux ennemis
6	FB Official Hat	Chapeau officiel FB
7	Official Hat by the Fluffy Biscuit Company	Chapeau officiel de la compagnie Fluffy Biscuit
8	Desert	Désert
9	Saucer	Soucoupe
10	Capsule	Capsule
11	Experienced	Expérimenté
12	Like a fine wine, aged.	Comme un bon vin, vieilli.
13	CU Casual Hat	CU Casual Hat
14	Grey Hat	Chapeau gris
15	Between a white and black hat	Entre un chapeau blanc et un chapeau noir
16	WD Captains Hat (Long Hair)	Chapeau de capitaine de WD (cheveux longs)
17	WD Captains Hat (Short Hair)	Chapeau de capitaine de WD (cheveux courts)
18	CU Captains Hat (Long Hair)	Chapeau de capitaine CU (cheveux longs)
19	CU Captains Hat (Short Hair)	Chapeau de capitaine CU (cheveux courts)
20	Casual Hat	Chapeau décontracté
21	Flat Top	Dessus plat
22	No Markings	Pas de marquage
23	Tough	Tough
24	Bald	Chauve
25	Short 1	Short 1
26	Partly Bald	Partiellement chauve
27	For those who want to make it so	Pour ceux qui veulent le faire
28	Bowl Cut	Coupe de la cuvette
29	The most logical option	L'option la plus logique
30	Side Part	Partie latérale
31	Ruffled 2	Ébouriffé 2
32	Ruffled 1	Ébouriffé 1
33	Clean	Nettoyer
34	Middle Part	Partie centrale
35	Slicked Back	Dos gominés
36	None	Aucun
37	Visor 1	Visière 1
38	Visor 2	Visière 2
39	Double Implant	Implant double
40	Right Implant	Implant droit
41	Left Implant	Implant gauche
42	Right Implant 2	Implant droit 2
43	Right Implant 3	Implant droit 3
44	Right Implant (Old)	Implant droit (ancien)
45	Left Implant (Old)	Implant gauche (ancien)
46	Blindfold	Bandeau sur les yeux
47	Nose Rings	Anneaux nasaux
48	Nose + Ear Rings	Anneaux pour le nez et les oreilles
49	Sidewinders	Sidewinders
50	Half-Visor	Demi-viseur
51	The Third Eye	Le troisième œil
52	Fashion Item	Article de mode
53	Glasses	Lunettes
54	Illegal Implant	Implantation illégale
55	Engineer's Goggles	Lunettes d'ingénieur
56	Illegal Implant 2	Implantation illégale 2
57	Specialist Implants (Double)	Implants spécialisés (double)
58	Specialist Implants (Right)	Implants spécialisés (droite)
59	Specialist Implants (Left)	Implants spécialisés (gauche)
60	Clean Shaven	Rasé de près
61	Bristly Beard	Barbe hirsute
62	Trimmed Beard	Barbe taillée
63	Moustache	Moustache
64	Chin Beard	Barbe du menton
65	Simple Moustache	Moustache simple
66	Goatee 1	Bouc 1
